ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,6,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,5,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,11,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56297786,9,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,11,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,10,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56313766,5,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326218,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,4,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,13,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56508926,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56512524,12,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,15,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,2,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,1,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,11,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,6,18,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
