ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56297786,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,1,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56313766,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326218,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,2,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,5,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,3,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,0,6,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
