ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,1,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56297786,10,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,7,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56313766,16,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326218,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,6,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,1,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56508926,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56509585,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56512524,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56514883,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56529266,5,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533347,0,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533679,6,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56534446,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56535776,19,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56536684,7,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540017,15,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540360,4,20,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
