ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,4,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56529266,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533347,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533679,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56535776,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56536684,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540017,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
