ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,1,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56297786,10,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,7,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56313766,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326218,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,6,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,1,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56508926,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56509585,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56512524,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56514883,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56529266,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533347,0,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533679,6,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56534446,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56535776,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56536684,7,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540017,15,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540360,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540435,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56543050,12,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545080,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545746,6,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56549119,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550262,11,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550599,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56551338,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56560999,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56565947,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56570677,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56572179,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56575867,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576283,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576441,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56579400,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56606528,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56625057,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56628324,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56629780,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56637988,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56641711,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56644803,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56657906,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56659386,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56665224,15,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56672125,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56673404,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56677569,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56678759,9,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56679738,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56683313,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56684216,5,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56690172,4,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56692568,13,16,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
