Real,Immediate,Intermediate,Clusters,Barebones
457.0,518.1431,566.50836,523.69464,471.05164
537.0,538.75256,599.3521,556.17175,471.05164
426.0,649.42804,518.31744,495.26468,471.05164
1068.0,496.52335,773.8147,800.49585,488.6866
438.0,423.25113,483.64127,450.5975,471.05164
323.0,583.2226,386.11945,357.2103,471.05164
835.0,565.3076,867.40625,832.85834,471.05164
621.0,534.57,683.9805,638.46716,471.05164
836.0,532.61755,911.0448,877.8735,471.05164
384.0,522.09357,583.93225,538.3081,471.05164
175.0,407.9017,385.1692,412.79453,414.69968
476.0,531.8174,543.0574,491.48438,471.05164
115.0,509.67352,516.3102,525.4068,471.05164
354.0,491.21585,369.64038,373.52567,471.05164
704.0,459.44254,599.3641,510.0497,471.05164
484.0,496.97092,641.53467,655.7665,488.6866
218.0,386.7187,225.39047,293.36386,414.69968
140.0,391.35062,254.60406,268.09366,471.05164
73.0,276.81052,105.93909,114.54495,471.05164
533.0,478.67703,564.1457,558.31995,471.05164
192.0,379.9593,187.50757,186.91254,453.9002
695.0,531.75275,779.39246,752.8839,471.05164
402.0,516.8236,561.0945,534.7856,471.05164
111.0,411.34933,287.69086,266.01987,471.05164
614.0,515.49445,654.65216,619.0072,471.05164
341.0,425.80472,489.0535,480.03555,471.05164
463.0,408.05707,541.6426,530.31445,471.05164
313.0,501.82858,494.5603,428.0844,471.05164
653.0,484.8632,472.21393,466.1214,419.59738
425.0,557.20135,430.21237,419.42252,471.05164
148.0,365.3915,272.04672,266.31784,471.05164
418.0,436.3865,512.8413,448.1371,429.4971
774.0,406.97964,657.9096,645.33075,471.05164
722.0,366.0919,466.85168,512.8912,419.59738
493.0,603.6739,689.0998,701.44006,471.05164
207.0,473.13223,243.37192,275.92795,367.2175
309.0,496.3039,279.52432,285.92368,385.10492
250.0,398.99362,270.29156,456.6102,473.88922
131.0,497.50192,277.7074,255.76198,471.05164
367.0,472.2533,384.281,411.32532,370.30753
230.0,446.4391,297.72153,306.34152,370.30753
312.0,377.1169,437.73102,423.3957,471.05164
276.0,512.5461,305.75134,297.18723,453.9002
535.0,480.23163,660.0585,638.8979,471.05164
179.0,503.76608,489.2756,548.2167,414.69968
897.0,567.55524,327.4305,408.78854,367.2175
641.0,508.46375,693.3588,658.2228,471.05164
742.0,508.8821,582.6548,563.00146,471.05164
720.0,442.43063,751.2715,734.97705,471.05164
386.0,409.70322,489.79755,475.71478,471.05164
