ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,0,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,10,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,10,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,11,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,2,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,5,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,11,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,8,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,8,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,8,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56529266,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533347,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533679,5,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56535776,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56536684,2,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540017,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540360,11,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540435,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56543050,10,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545080,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545746,5,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56549119,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550262,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550599,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56560999,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56565947,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56570677,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56572179,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56575867,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576283,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576441,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56579400,4,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56606528,3,12,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
